goos: darwin
goarch: arm64
pkg: github.com/gregfurman/micropython-go
cpu: Apple M3 Pro
BenchmarkCallable/operation=call_ref-12     	       5	      3417 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3392 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3417 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      2883 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      2842 ns/op	     768 B/op	      10 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      2975 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3625 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3358 ns/op	     768 B/op	      10 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3233 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3408 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      2808 ns/op	     768 B/op	      10 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3583 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3158 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3375 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3425 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      2675 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      2842 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      2758 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3342 ns/op	     768 B/op	      10 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      2775 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      2667 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3558 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      2900 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3292 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3450 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3367 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3358 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      2825 ns/op	     768 B/op	      10 allocs/op
